,dataset_name,method,k,SSE,Total_time
0,Syn_n_100000_d_2_seed_0,basic,3.0,1651193.4697894221,173.03642392158508
1,Syn_n_100000_d_2_seed_0,basic,5.0,1650996.0997394333,354.3391332626343
2,Syn_n_100000_d_2_seed_0,basic,10.0,1650498.1906491183,791.6654748916626
3,Syn_n_100000_d_2_seed_0,basic,20.0,1649522.2375455587,1629.7998774051666
4,Syn_n_100000_d_2_seed_0,asc,3.0,1651204.7295647063,15.593886852264404
5,Syn_n_100000_d_2_seed_0,asc,5.0,1651007.2511722893,24.15889596939087
6,Syn_n_100000_d_2_seed_0,asc,10.0,1650509.5123254138,54.26377820968628
7,Syn_n_100000_d_2_seed_0,asc,20.0,1649529.0742667974,132.33487820625305
8,Syn_n_100000_d_2_seed_1,basic,3.0,1651359.3458868426,181.94427180290222
9,Syn_n_100000_d_2_seed_1,basic,5.0,1651152.5004422367,355.07782006263733
10,Syn_n_100000_d_2_seed_1,basic,10.0,1650623.305078011,777.404926776886
11,Syn_n_100000_d_2_seed_1,basic,20.0,1649612.5139422552,1655.5031526088715
12,Syn_n_100000_d_2_seed_1,asc,3.0,1651359.3458868435,2.4105560779571533
13,Syn_n_100000_d_2_seed_1,asc,5.0,1651152.5004422353,6.333037376403809
14,Syn_n_100000_d_2_seed_1,asc,10.0,1650623.6819700869,23.053483724594116
15,Syn_n_100000_d_2_seed_1,asc,20.0,1649637.144295642,78.83767318725586
16,Syn_n_100000_d_2_seed_2,basic,3.0,1655202.7331325584,169.96403908729553
17,Syn_n_100000_d_2_seed_2,basic,5.0,1654982.7110293643,339.43740677833557
18,Syn_n_100000_d_2_seed_2,basic,10.0,1654445.5690082405,760.7519843578339
19,Syn_n_100000_d_2_seed_2,basic,20.0,1653449.5977319723,1625.782811164856
20,Syn_n_100000_d_2_seed_2,asc,3.0,1655202.7858679637,1.9497795104980469
21,Syn_n_100000_d_2_seed_2,asc,5.0,1654985.8443688382,4.118018388748169
22,Syn_n_100000_d_2_seed_2,asc,10.0,1654478.5120238825,13.19969654083252
23,Syn_n_100000_d_2_seed_2,asc,20.0,1653482.0007402415,55.42476487159729
24,Syn_n_100000_d_2_seed_3,basic,3.0,1654004.149154482,169.7351577281952
25,Syn_n_100000_d_2_seed_3,basic,5.0,1653791.0614887034,344.7976803779602
26,Syn_n_100000_d_2_seed_3,basic,10.0,1653270.4482338182,773.4404530525208
27,Syn_n_100000_d_2_seed_3,basic,20.0,1652288.3020826878,1631.7335405349731
28,Syn_n_100000_d_2_seed_3,asc,3.0,1654004.149154482,4.040194272994995
29,Syn_n_100000_d_2_seed_3,asc,5.0,1653791.0614887034,5.6468987464904785
30,Syn_n_100000_d_2_seed_3,asc,10.0,1653274.6537298085,13.625125169754028
31,Syn_n_100000_d_2_seed_3,asc,20.0,1652310.4025435052,48.45598816871643
32,Syn_n_50000_d_2_seed_0,basic,3.0,824114.7761229123,42.88928985595703
33,Syn_n_50000_d_2_seed_0,basic,5.0,823905.217022594,86.10424900054932
34,Syn_n_50000_d_2_seed_0,basic,10.0,823430.4874449016,192.81988143920898
35,Syn_n_50000_d_2_seed_0,basic,20.0,822470.7707060463,406.82244086265564
36,Syn_n_50000_d_2_seed_0,asc,3.0,824114.7761229123,3.9593849182128906
37,Syn_n_50000_d_2_seed_0,asc,5.0,823905.2170225931,6.633284091949463
38,Syn_n_50000_d_2_seed_0,asc,10.0,823430.4874449009,15.962307691574097
39,Syn_n_50000_d_2_seed_0,asc,20.0,822471.1895174448,41.5453987121582
40,Syn_n_50000_d_2_seed_1,basic,3.0,824626.3577451785,42.91921091079712
41,Syn_n_50000_d_2_seed_1,basic,5.0,824427.2148058541,86.07835030555725
42,Syn_n_50000_d_2_seed_1,basic,10.0,823918.0594592271,192.90708374977112
43,Syn_n_50000_d_2_seed_1,basic,20.0,822968.0658165881,405.21838903427124
44,Syn_n_50000_d_2_seed_1,asc,3.0,824626.3577451806,0.625328540802002
45,Syn_n_50000_d_2_seed_1,asc,5.0,824427.2148058523,2.1123898029327393
46,Syn_n_50000_d_2_seed_1,asc,10.0,823932.7201694091,8.012560606002808
47,Syn_n_50000_d_2_seed_1,asc,20.0,822997.7061933132,30.066126346588135
48,Syn_n_50000_d_2_seed_2,basic,3.0,829288.6495423696,43.02492833137512
49,Syn_n_50000_d_2_seed_2,basic,5.0,829068.6274391755,85.38859987258911
50,Syn_n_50000_d_2_seed_2,basic,10.0,828550.2609978396,192.44638633728027
51,Syn_n_50000_d_2_seed_2,basic,20.0,827592.0664996873,406.52037239074707
52,Syn_n_50000_d_2_seed_2,asc,3.0,829288.7022777767,0.6901283264160156
53,Syn_n_50000_d_2_seed_2,asc,5.0,829071.7607786513,1.8769805431365967
54,Syn_n_50000_d_2_seed_2,asc,10.0,828575.1587356875,4.904905080795288
55,Syn_n_50000_d_2_seed_2,asc,20.0,827628.4071022372,17.63081955909729
