,dataset_name,method,theta,max,SSE,Total_time
0,Syn_n_50000_d_2_seed_6,asc,1.01,5,823930.5723538054,79.68749022483826
1,Syn_n_50000_d_2_seed_6,asc,1.01,10,823930.5723538054,80.10561323165894
2,Syn_n_50000_d_2_seed_6,asc,1.01,20,823930.5723538061,78.0642569065094
3,Syn_n_50000_d_2_seed_6,asc,1.01,50,823930.5723538061,79.0919771194458
4,Syn_n_50000_d_2_seed_6,asc,1.05,5,823944.4035925376,24.131999492645264
5,Syn_n_50000_d_2_seed_6,asc,1.05,10,823963.3003427138,28.42497444152832
6,Syn_n_50000_d_2_seed_6,asc,1.05,20,823963.3003427137,29.77170157432556
7,Syn_n_50000_d_2_seed_6,asc,1.05,50,823963.3003427137,29.810325145721436
8,Syn_n_50000_d_2_seed_6,asc,1.1,5,823990.9023990646,12.122611045837402
9,Syn_n_50000_d_2_seed_6,asc,1.1,10,823963.3003427145,15.086219072341919
10,Syn_n_50000_d_2_seed_6,asc,1.1,20,823963.3003427148,14.683696508407593
11,Syn_n_50000_d_2_seed_6,asc,1.1,50,823963.3003427148,16.467986345291138
12,Syn_n_50000_d_2_seed_6,asc,1.2,5,823991.371739919,5.678811550140381
13,Syn_n_50000_d_2_seed_6,asc,1.2,10,823963.3003427146,7.944772958755493
14,Syn_n_50000_d_2_seed_6,asc,1.2,20,823963.3003427149,9.077806949615479
15,Syn_n_50000_d_2_seed_6,asc,1.2,50,823963.3003427149,10.71936583518982
16,Syn_n_50000_d_2_seed_6,asc,1.5,5,823984.7399849516,3.313138961791992
17,Syn_n_50000_d_2_seed_6,asc,1.5,10,823963.3003427148,4.467021465301514
18,Syn_n_50000_d_2_seed_6,asc,1.5,20,823963.3003427149,5.170202255249023
19,Syn_n_50000_d_2_seed_6,asc,1.5,50,823963.3003427149,6.700049161911011
20,Syn_n_50000_d_2_seed_6,asc,2.0,5,823959.4772570245,2.939169406890869
21,Syn_n_50000_d_2_seed_6,asc,2.0,10,823963.300342715,3.3363053798675537
22,Syn_n_50000_d_2_seed_6,asc,2.0,20,823967.0198840431,4.018251419067383
23,Syn_n_50000_d_2_seed_6,asc,2.0,50,823967.0198840428,5.0749852657318115
24,Syn_n_50000_d_2_seed_6,asc,5.0,5,823980.4462510927,2.0405423641204834
25,Syn_n_50000_d_2_seed_6,asc,5.0,10,823966.9254016473,2.2769076824188232
26,Syn_n_50000_d_2_seed_6,asc,5.0,20,823967.0198840429,2.494297504425049
27,Syn_n_50000_d_2_seed_6,asc,5.0,50,823967.0198840427,3.1286630630493164
28,Syn_n_50000_d_2_seed_6,asc,10.0,5,823968.4768892264,2.2933764457702637
29,Syn_n_50000_d_2_seed_6,asc,10.0,10,823953.5023083279,2.03159761428833
30,Syn_n_50000_d_2_seed_6,asc,10.0,20,823938.6668639497,2.200150966644287
31,Syn_n_50000_d_2_seed_6,asc,10.0,50,823934.2918951409,2.5860519409179688
