,dataset_name,method,k,theta,max,SSE,Total_time
0,01_,asc,3,1,10,4694.354526706968,5.392603635787964
1,01_,asc,3,2,10,4725.752852182142,0.9404580593109131
2,01_,asc,3,4,10,4725.752852182152,0.3430821895599365
3,01_,asc,3,8,10,4725.752852182154,0.16558265686035156
4,01_,asc,3,16,10,4725.752852182156,0.08873820304870605
5,01_,asc,3,32,10,4725.75285218216,0.05485129356384277
6,01_,asc,3,64,10,4725.75285218216,0.029918909072875977
7,01_,asc,5,1,10,4564.071609503452,17.25884199142456
8,01_,asc,5,2,10,4579.661560329145,4.967741012573242
9,01_,asc,5,4,10,4579.661077832492,1.7613162994384766
10,01_,asc,5,8,10,4579.66107783251,0.7240369319915771
11,01_,asc,5,16,10,4579.66107783251,0.36206507682800293
12,01_,asc,5,32,10,4579.661077832591,0.21041131019592285
13,01_,asc,5,64,10,4579.661077832541,0.13966107368469238
14,01_,asc,10,1,10,4385.588552499616,44.485750675201416
15,01_,asc,10,2,10,4386.497909737729,15.561950922012329
16,01_,asc,10,4,10,4392.0967794716,7.376272201538086
17,01_,asc,10,8,10,4402.120491087658,2.847411870956421
18,01_,asc,10,16,10,4413.167017468171,1.4032483100891113
19,01_,asc,10,32,10,4426.653489387324,0.7599935531616211
20,01_,asc,10,64,10,4428.579932601799,0.40590953826904297
21,01_,asc,20,1,10,4235.984529866158,104.34756207466125
22,01_,asc,20,2,10,4239.3005489038605,37.89213299751282
23,01_,asc,20,4,10,4251.3483452899245,18.74782681465149
24,01_,asc,20,8,10,4251.56777829107,8.223514556884766
25,01_,asc,20,16,10,4264.241841630859,4.1400465965271
26,01_,asc,20,32,10,4265.3549878437125,2.4858691692352295
27,01_,asc,20,64,10,4268.078090776859,1.4032468795776367
