,dataset_name,method,k,SSE_a,Total_time_a
0,Syn_n_10000_d_2_seed_0,asc,3.0,164118.50651951582,0.08380579948425293
1,Syn_n_10000_d_2_seed_0,asc,5.0,163960.77400943844,0.40296006202697754
2,Syn_n_10000_d_2_seed_0,asc,10.0,163556.6248956309,0.8766567707061768
3,Syn_n_10000_d_2_seed_0,asc,20.0,162791.8278286404,1.4131889343261719
4,Syn_n_10000_d_2_seed_1,asc,3.0,164608.15320126925,0.4248979091644287
5,Syn_n_10000_d_2_seed_1,asc,5.0,164402.5767196988,0.7659516334533691
6,Syn_n_10000_d_2_seed_1,asc,10.0,163936.01185231283,1.366344690322876
7,Syn_n_10000_d_2_seed_1,asc,20.0,163124.7491009516,1.8659780025482178
8,Syn_n_10000_d_2_seed_2,asc,3.0,166914.68515431663,0.42389726638793945
9,Syn_n_10000_d_2_seed_2,asc,5.0,166708.5110008892,1.2753546237945557
10,Syn_n_10000_d_2_seed_2,asc,10.0,166271.4036156189,2.7017698287963867
11,Syn_n_10000_d_2_seed_2,asc,20.0,165463.5791241245,3.6017444133758545
12,Syn_n_10000_d_2_seed_3,asc,3.0,164374.47216184807,0.09478068351745605
13,Syn_n_10000_d_2_seed_3,asc,5.0,164201.69895943187,0.28057289123535156
14,Syn_n_10000_d_2_seed_3,asc,10.0,163791.99020222254,0.6482651233673096
15,Syn_n_10000_d_2_seed_3,asc,20.0,162999.01909877165,1.0651860237121582
16,Syn_n_10000_d_2_seed_4,asc,3.0,167243.61976762715,0.07084155082702637
17,Syn_n_10000_d_2_seed_4,asc,5.0,167102.07884507434,0.2603030204772949
18,Syn_n_10000_d_2_seed_4,asc,10.0,166735.9779720409,0.6981251239776611
19,Syn_n_10000_d_2_seed_4,asc,20.0,166008.94799672594,1.379345178604126
20,Syn_n_10000_d_2_seed_5,asc,3.0,165082.20105340428,0.07882356643676758
21,Syn_n_10000_d_2_seed_5,asc,5.0,164885.57675760737,0.4527866840362549
22,Syn_n_10000_d_2_seed_5,asc,10.0,164452.64280080656,1.6655468940734863
23,Syn_n_10000_d_2_seed_5,asc,20.0,163601.9629211263,2.468395471572876
24,Syn_n_10000_d_2_seed_6,asc,3.0,165254.90703899958,0.15657997131347656
25,Syn_n_10000_d_2_seed_6,asc,5.0,165041.90137864108,0.8587005138397217
26,Syn_n_10000_d_2_seed_6,asc,10.0,164611.75561580708,1.873025894165039
27,Syn_n_10000_d_2_seed_6,asc,20.0,163879.36172822723,2.4803314208984375
28,Syn_n_10000_d_2_seed_7,asc,3.0,164477.82990414073,0.05482053756713867
29,Syn_n_10000_d_2_seed_7,asc,5.0,164311.25671498105,0.41190600395202637
30,Syn_n_10000_d_2_seed_7,asc,10.0,163879.52439427093,1.0561437606811523
31,Syn_n_10000_d_2_seed_7,asc,20.0,163131.59345968085,1.679511308670044
32,Syn_n_10000_d_2_seed_8,asc,3.0,164556.52579020156,0.09574365615844727
33,Syn_n_10000_d_2_seed_8,asc,5.0,164394.6785721889,0.4109330177307129
34,Syn_n_10000_d_2_seed_8,asc,10.0,164011.08761176682,0.922532320022583
35,Syn_n_10000_d_2_seed_8,asc,20.0,163282.48179224337,2.0116195678710938
36,Syn_n_10000_d_2_seed_9,asc,3.0,165556.5087781546,0.4138927459716797
37,Syn_n_10000_d_2_seed_9,asc,5.0,165396.49076614092,1.107039451599121
38,Syn_n_10000_d_2_seed_9,asc,10.0,164957.17449081942,1.4680733680725098
39,Syn_n_10000_d_2_seed_9,asc,20.0,164186.11835385993,1.9946644306182861
