,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_4,20,1.01,5,828915.1019788806,828915.101978878,433.045019865036,174.06798195838928,2.4877924991889366,-3.089745951157516e-13
1,Syn_n_50000_d_2_seed_4,20,1.05,5,828915.1019788806,828915.1019788773,431.5224726200104,118.45067811012268,3.643056160631071,-3.932403937836839e-13
2,Syn_n_50000_d_2_seed_4,20,1.1,5,828915.1019788806,828915.1019788773,432.3307626247406,102.81711864471436,4.204851957762638,-3.932403937836839e-13
3,Syn_n_50000_d_2_seed_4,20,1.2,5,828915.1019788806,828915.1019788774,439.0540704727173,90.52461910247803,4.8501067977506525,-3.791960940056952e-13
4,Syn_n_50000_d_2_seed_4,20,1.5,5,828915.1019788806,828915.1019788774,437.2327570915222,82.920738697052,5.27289992783273,-3.791960940056952e-13
5,Syn_n_50000_d_2_seed_4,20,2.0,5,828915.1019788806,828915.1019788774,433.71340823173523,74.65783596038818,5.809348779702831,-3.791960940056952e-13
6,Syn_n_50000_d_2_seed_4,20,5.0,5,828915.1019788806,828933.2274798577,436.1416549682617,63.049389123916626,6.917460439007162,0.002186653486452894
7,Syn_n_50000_d_2_seed_4,20,10.0,5,828915.1019788806,828968.8672579618,435.85642671585083,49.6148157119751,8.784803903053739,0.006486222648475075
8,Syn_n_50000_d_2_seed_4,20,20.0,5,828915.1019788806,828933.5852987247,443.6460497379303,59.256994009017944,7.486813280984429,0.002229820617333882
9,Syn_n_50000_d_2_seed_4,20,50.0,5,828915.1019788806,828972.4121217629,439.25878405570984,39.058537006378174,11.246165825002095,0.006913873657925571
